Параметр,Значение,Примечание
Язык программирования,Python,Полная поддержка UTF-8
Версия Python,3.9+,Совместимость с 3.9-3.12
Основная библиотека,python-telegram-bot,Асинхронная архитектура
Версия python-telegram-bot,20.7,Последняя стабильная версия
База данных,SQLite,"Встроенная, без установки"
Библиотека для отчётов,pandas 2.2.0,Для обработки данных
Библиотека для Excel,openpyxl 3.1.2,Для генерации Excel
Архитектура,Модульная с обработчиками,Легко расширяемая
Хранение данных,Локальное (SQLite),Файл .db в папке проекта
Многопользовательский,"Да, изолированные данные",Каждый user_id отдельно
Размер кода,~1000 строк,Полностью документирован
Количество команд,13 команд,Интуитивные названия
Количество типов задач,11 типов,+ произвольное описание
Форматы экспорта,Excel (.xlsx),Автоформатирование столбцов
Обработка ошибок,"Да, полная валидация",Try-except блоки
Логирование,"Да, logging",INFO уровень
ConversationHandler,"Да, 3 диалога",Отмена через /cancel
